bathrooms,bedrooms,latitude,longitude,price,interest_level
1.5,3,40.7145,-73.9425,3000,2
1.0,2,40.7947,-73.9667,5465,1
1.0,1,40.7388,-74.0018,2850,3
1.0,1,40.7539,-73.9677,3275,1
1.0,4,40.8241,-73.9493,3350,1
2.0,4,40.7429,-74.0028,7995,2
1.0,2,40.8012,-73.96600000000002,3600,1
2.0,1,40.7427,-73.9957,5645,1
1.0,1,40.8234,-73.9457,1725,2
2.0,4,40.7278,-73.9808,5800,1
1.0,0,40.7769,-73.9467,1950,1
1.0,1,40.8448,-73.9396,1675,1
1.0,2,40.7488,-73.977,3000,3
2.0,2,40.7707,-73.9817,6895,1
1.0,1,40.7584,-73.9648,3050,1
1.0,0,40.7439,-73.9743,2350,2
1.0,2,40.7305,-73.983,3650,1
1.0,1,40.8643,-73.928,1695,1
1.0,4,40.7999,-73.9638,5000,1
1.0,1,40.7328,-73.9799,3973,1
1.0,3,40.7454,-73.9845,4395,1
1.0,2,40.7427,-73.9794,2999,2
1.0,1,40.7447,-73.9741,2595,1
1.0,1,40.7074,-74.0081,3695,1
2.0,4,40.7391,-73.9936,7400,2
3.5,4,40.7584,-73.9653,7500,1
1.0,1,40.7728,-73.9502,2295,2
1.0,1,40.7709,-73.9917,3164,1
1.0,1,40.8335,-73.9141,1350,3
2.0,2,40.7716,-73.9506,5600,1
1.0,0,40.7897,-73.976,2750,2
1.0,2,40.7902,-73.9678,3500,2
1.0,1,40.7179,-74.0148,5165,1
1.0,2,40.7301,-73.9942,4400,1
1.0,2,40.844,-73.9404,2300,1
1.0,1,40.79,-73.9418,1650,1
1.0,0,40.8184,-73.9389,1300,1
1.0,0,40.7649,-73.9763,1980,3
2.0,2,40.7471,-73.9867,6500,1
1.0,0,40.753,-73.9959,2396,2
1.0,3,40.7231,-74.0044,3733,1
3.0,4,40.7723,-73.9533,15000,1
1.0,0,40.7753,-73.954,2400,2
1.0,0,40.7739,-73.9511,1850,2
1.0,1,40.8031,-73.957,2500,1
1.0,1,40.7975,-73.9626,2045,2
1.0,0,40.7372,-73.9981,2650,1
1.0,2,40.7479,-74.0005,3745,1
1.0,1,40.7802,-73.9504,1900,1
1.0,2,40.7377,-73.9831,5595,1
1.0,1,40.7263,-73.8573,1750,1
1.0,1,40.7267,-73.8569,1650,2
1.0,0,40.7817,-73.9573,3500,1
1.0,1,40.789,-73.9756,3300,1
1.0,0,40.7522,-73.9702,2790,1
2.0,2,40.7059,-73.8339,2100,2
1.0,2,40.7943,-73.9675,3200,2
1.0,0,40.7699,-73.9565,2700,1
1.0,3,40.766,-73.9914,4500,2
1.0,1,40.6888,-73.9522,2000,1
1.0,2,40.7493,-73.7142,1900,2
1.0,1,40.7892,-73.9705,3200,2
1.0,0,40.7571,-73.9647,2290,1
1.0,2,40.7299,-73.9819,3895,1
1.0,1,40.7796,-73.9493,2200,3
1.0,1,40.7459,-73.9564,3200,1
1.0,1,40.7467,-73.9854,4455,1
1.0,1,40.7619,-73.9854,3697,1
2.0,2,40.7341,-73.9896,5700,3
1.0,2,40.7413,-73.9779,3400,2
1.0,1,40.7351,-73.9531,2550,1
1.0,2,40.8028,-73.9648,3200,1
2.0,3,40.7196,-74.0109,6320,1
1.0,1,40.7777,-73.9532,2945,1
2.0,2,40.7087,-74.0058,4600,1
2.0,2,40.7924,-73.9741,7800,1
2.0,2,40.7756,-73.9846,7000,1
1.0,2,40.7054,-74.0095,3250,2
1.0,0,40.7108,-73.8543,1400,3
1.0,1,40.7802,-73.9444,3195,1
1.0,1,40.664,-73.9342,1495,3
1.0,1,40.7349,-73.9863,3850,1
1.0,0,40.7617,-73.9626,2625,1
1.0,3,40.8394,-73.9381,2500,3
1.0,2,40.7931,-73.9715,3095,1
3.5,4,40.7788,-73.9538,13500,1
1.0,2,40.6578,-73.9259,1700,1
1.0,0,40.769,-73.9541,1850,2
1.0,2,40.6633,-73.9824,2050,3
1.0,1,40.7762,-73.9592,4000,1
1.0,0,40.7604,-73.9617,1950,1
1.0,1,40.778,-73.9774,2750,1
2.0,3,40.7801,-73.9803,4900,1
1.0,3,40.7447,-74.0052,6500,2
1.0,2,40.6896,-73.9982,2300,2
1.0,2,40.7306,-73.8519,2350,1
1.0,2,40.7318,-74.0016,3900,1
1.0,3,40.7594,-73.9712,4000,3
2.0,3,40.74800000000001,-73.9572,3850,2
1.0,1,40.7681,-73.9858,3995,1
1.0,2,40.624,-74.0312,2000,2
2.0,2,40.7161,-73.9548,4823,1
1.0,1,40.7676,-73.9577,2700,1
1.0,1,40.7073,-74.0046,2695,2
1.0,1,40.5946,-73.9617,1800,1
1.0,2,40.7426,-73.979,3295,1
1.0,0,40.7793,-73.9496,1725,1
1.0,1,40.7216,-73.9423,2250,1
1.0,1,40.7802,-73.9504,2300,1
1.0,1,40.7128,-74.0059,3400,1
1.0,2,40.7763,-73.9518,3050,1
1.5,2,40.7676,-73.9813,6500,1
2.0,2,40.5757,-73.9686,3250,1
2.0,2,40.7777,-73.9883,5020,1
1.0,2,40.8034,-73.9661,3200,1
1.0,1,40.7133,-73.9395,2199,2
1.0,2,40.8678,-73.9251,1695,3
1.0,1,40.7592,-73.9903,2150,1
2.0,2,40.7779,-73.9525,6475,1
1.0,1,40.7064,-74.01,2750,2
2.0,4,40.7108,-73.9878,5300,3
1.0,1,40.7856,-73.9794,2195,2
2.0,4,40.7281,-73.9812,5900,2
1.0,0,40.7393,-73.9817,2500,2
1.0,2,40.7736,-73.947,2750,1
1.0,1,40.7633,-73.9628,3200,2
1.0,0,40.7444,-73.9754,2400,2
2.0,3,40.7796,-73.7804,2000,3
1.0,2,40.7697,-73.9581,3300,2
1.0,0,40.7075,-74.0113,3090,1
1.0,3,40.7264,-73.9836,4895,2
1.0,2,40.7947,-73.9667,5465,1
1.0,3,40.7983,-73.9416,2000,2
1.0,0,40.7481,-73.9748,2700,1
1.0,1,40.7993,-73.9689,2400,1
1.0,3,40.7694,-73.9603,4400,1
1.0,1,40.7299,-73.9819,2795,2
1.0,2,40.7751,-73.9481,2475,1
2.0,2,40.7922,-73.9645,5495,1
1.0,0,40.7366,-73.9934,2900,2
2.0,3,40.6896,-73.9527,3462,1
2.0,1,40.7324,-74.0081,8400,1
1.0,1,40.7412,-73.9772,3150,1
1.0,0,40.754,-73.9678,2600,1
1.0,0,40.7382,-73.9965,3995,1
1.0,1,40.764,-73.98,3600,1
1.0,2,40.7401,-74.0039,5400,3
1.0,1,40.7481,-73.9564,2983,2
1.0,1,40.7723,-73.94800000000002,2400,2
1.0,3,40.7681,-73.9527,13500,1
1.0,0,40.7777,-73.9498,1800,1
1.0,1,40.7951,-73.9676,2700,3
1.0,1,40.6905,-73.9668,2200,1
1.0,1,40.7612,-73.9978,3346,1
2.0,3,40.7906,-73.9687,6000,1
1.0,2,40.8666,-73.9217,2195,1
1.0,1,40.7692,-73.9847,5200,1
2.0,3,40.7075,-74.0059,4500,2
2.0,3,40.6812,-73.9105,2395,2
1.0,1,41.0412,-73.54,2195,1
2.0,2,40.7634,-73.9596,5200,1
2.0,4,40.7307,-73.9837,5800,3
1.0,0,40.7242,-73.9878,1975,2
1.0,0,40.7298,-73.9868,2750,1
1.0,1,40.7658,-73.9781,3750,1
2.0,3,40.7548,-73.9944,4555,2
2.0,2,40.7437,-73.9585,4890,1
1.0,3,40.7177,-73.9984,4595,1
1.0,2,40.76300000000001,-73.9579,2800,1
1.0,1,40.6663,-73.9402,1800,2
1.0,1,40.7406,-73.9822,3195,1
1.0,1,40.755,-73.9663,2675,2
2.0,2,40.7621,-73.9956,5450,1
2.0,3,40.7469,-73.9803,5000,1
1.0,1,40.7111,-73.8272,1675,1
2.0,2,40.7182,-74.0148,6200,1
1.0,2,40.8217,-73.9486,2500,1
1.0,3,40.7265,-73.9835,4750,2
1.0,1,40.7441,-73.8792,1700,2
1.0,0,40.7689,-73.9681,2850,1
1.0,0,40.7032,-73.9914,3035,1
1.0,1,40.7787,-73.9751,3100,1
1.0,1,40.7265,-73.9851,3195,3
1.0,2,40.7491,-73.9789,3450,1
1.0,1,40.7793,-73.9496,1895,2
1.0,1,40.7726,-73.926,2600,1
1.0,1,40.7462,-73.9757,3175,1
1.0,1,40.7346,-74.0018,2600,1
1.0,2,40.7062,-74.0099,3025,1
1.0,1,40.7704,-73.9566,3790,1
1.0,2,40.7616,-73.9643,4600,1
1.0,3,40.755,-73.9636,4450,1
1.0,3,40.7588,-73.9907,3200,2
1.0,1,40.6911,-73.9822,2769,2
1.0,1,40.7417,-73.9806,3800,1
1.0,2,40.7603,-73.995,2595,1
1.0,1,40.7658,-73.9781,3775,1
1.0,2,40.8342,-73.9427,1895,1
2.0,3,40.7604,-73.987,4700,1
1.0,2,40.746,-73.9754,3495,1
1.0,1,40.7771,-73.9496,2800,1
1.0,1,40.7412,-73.9772,3050,1
2.0,3,40.6577,-73.9055,2300,1
1.0,1,40.7637,-73.9846,2975,1
1.0,2,40.7095,-74.0094,3150,2
2.5,3,40.7425,-73.9926,15500,1
1.0,2,40.7088,-74.0143,3300,1
2.0,3,40.7722,-73.9606,8200,1
1.0,2,40.7489,-73.9765,3276,2
1.0,4,40.7274,-73.9882,5800,3
1.0,1,40.7512,-74.0026,4030,1
1.0,1,40.7593,-73.9962,3129,2
1.5,3,40.753,-73.9959,4400,1
1.0,3,40.8008,-73.9611,2950,2
1.0,3,40.7221,-73.9837,4899,2
1.0,1,40.731,-73.9876,3195,1
1.0,0,40.7928,-73.9758,2300,2
1.0,2,40.753,-73.9695,3500,1
1.0,2,40.7302,-73.9826,3250,2
1.0,0,40.7663,-73.8288,1350,3
1.0,0,40.7328,-74.0089,2500,1
1.0,1,40.7992,-73.9674,2450,1
1.0,0,40.7588,-73.9694,2400,1
1.0,2,40.756,-73.9687,2800,2
1.0,0,40.7612,-73.9978,2600,1
2.0,3,40.7297,-73.986,5100,2
1.0,2,40.7444,-74.0,3600,1
1.0,1,40.742,-73.9826,1800,3
1.0,1,40.7976,-73.968,2300,1
1.0,1,40.7836,-73.9491,2295,1
1.0,1,40.7868,-73.9504,3138,1
1.0,3,40.8035,-73.9567,3750,1
1.0,2,40.708,-74.0149,3097,1
1.0,2,40.7803,-73.9465,2495,3
1.5,1,40.7861,-73.9777,3400,1
1.0,0,40.7032,-73.9914,3156,1
2.0,2,40.7111,-74.0055,6500,1
1.0,1,40.7356,-73.9828,2830,2
1.0,2,40.7316,-73.9839,3400,3
1.0,1,40.6167,-73.955,1475,3
0.0,0,40.6503,-74.0135,2195,1
1.0,0,40.7852,-73.9777,1795,3
1.0,2,40.7842,-73.94800000000002,2900,2
1.0,1,40.7633,-73.9785,3250,1
1.0,0,40.7443,-73.9859,3125,1
1.0,1,40.7462,-73.9757,2695,2
2.0,2,40.6905,-73.9668,3000,2
1.0,2,40.7087,-74.0058,3995,1
1.0,3,40.7187,-73.9831,4725,1
2.0,4,40.7489,-73.9732,5800,1
1.0,1,40.7331,-74.0055,3795,2
1.0,2,40.7299,-73.9819,3695,1
1.0,2,40.7405,-73.9767,3100,1
2.0,3,40.7449,-73.9812,6150,1
1.0,1,40.7775,-73.9483,2550,2
1.0,1,40.7974,-73.9706,2700,1
1.0,1,40.7518,-73.9849,3570,1
1.0,1,40.727,-74.0308,2800,1
1.0,1,40.7421,-73.9788,2995,1
1.0,0,40.7603,-73.961,2500,1
2.0,2,40.7752,-73.9887,5795,1
1.0,2,40.7081,-74.0065,3460,1
1.0,0,40.759,-73.9621,2000,2
1.0,0,40.71,-74.0143,2595,1
1.0,0,40.7333,-73.9796,1950,1
1.0,0,40.7894,-73.9764,2350,1
1.0,2,40.7427,-73.9794,2999,3
1.0,2,40.7865,-73.9744,2500,2
1.0,1,40.7481,-73.9564,3160,1
1.0,2,40.7033,-73.92,2000,1
1.0,0,40.7238,-73.9902,2650,1
1.0,0,40.7047,-74.0076,3138,1
1.0,2,40.7466,-73.9779,3200,1
1.0,1,40.7838,-73.9535,3850,1
1.0,2,40.7705,-73.9485,2750,1
1.0,0,40.7706,-73.9501,1750,2
1.0,4,40.8441,-73.9406,3200,1
1.0,1,40.7568,-73.9982,3500,1
1.0,2,40.6905,-73.9668,3000,1
1.0,2,40.753,-73.9695,5095,1
2.0,2,40.8071,-73.9552,3850,1
1.0,0,40.7749,-73.9782,2280,2
1.0,0,40.6461,-73.9617,1850,1
1.0,2,40.7318,-73.9864,3450,1
1.0,1,40.7633,-73.9785,3250,1
1.0,2,40.6774,-73.9583,2900,1
1.0,1,40.7628,-73.9849,3350,1
1.0,1,40.6621,-73.9793,1995,2
1.0,1,40.7247,-73.9935,4195,1
1.0,2,40.8233,-73.9532,1900,2
1.0,1,40.7343,-74.0094,3850,1
1.0,1,40.7632,-73.9907,2495,1
0.0,1,40.745,-73.9863,4475,1
1.0,0,40.7705,-73.9485,1895,1
1.0,1,40.6493,-73.97399999999998,2487,2
1.0,3,40.7729,-73.9485,5100,1
1.0,1,40.7625,-73.9864,3640,1
1.0,2,40.8222,-73.94,2100,1
1.0,2,40.7586,-73.9838,3505,2
1.0,3,40.8246,-73.9508,2700,1
0.0,0,40.7805,-73.9464,2775,1
1.0,0,40.7974,-73.9708,2350,1
1.0,2,40.8021,-73.9392,2250,2
1.0,0,40.6898,-73.9797,2441,2
1.0,1,40.7334,-74.0047,4250,1
1.0,1,40.7735,-73.9064,2188,2
1.0,0,40.7771,-73.9515,1825,1
1.0,1,40.7601,-73.99,2650,1
1.0,0,40.7863,-73.971,2190,1
1.0,0,40.7767,-73.9456,2199,1
2.0,2,40.7669,-73.9344,3600,2
1.0,1,40.7338,-74.0009,4650,1
1.0,2,40.7494,-73.8801,2500,1
1.0,3,40.8419,-73.9377,2525,1
1.0,1,40.7321,-74.008,4500,1
1.0,0,40.779,-73.9461,2100,1
1.0,1,40.7292,-73.986,2350,1
3.0,3,40.7381,-73.992,14000,1
1.0,0,40.7369,-73.8633,1400,1
1.0,1,40.7222,-73.9464,2292,1
2.0,3,40.7316,-73.9838,5850,2
1.0,0,40.7559,-73.9658,1850,1
1.0,1,40.7549,-73.969,3095,1
1.0,0,40.7198,-73.9991,6650,1
1.0,2,40.7446,-73.97399999999998,3295,1
2.0,2,40.7826,-73.9509,7930,1
1.0,1,40.7238,-73.9902,2999,2
1.0,0,40.7854,-73.9752,2100,2
2.0,2,40.7075,-74.0059,4800,1
1.0,2,40.6736,-73.9659,3000,2
1.0,2,40.8063,-73.9157,2195,3
1.0,1,40.7538,-73.97399999999998,2800,2
1.0,1,40.7792,-73.9514,2599,1
1.0,0,40.7621,-73.9638,1850,3
1.0,0,40.7785,-73.9759,2575,1
2.0,2,40.6906,-73.9827,4083,1
1.0,2,40.764,-73.9799,3600,1
1.0,0,40.7073,-74.0046,2900,1
1.0,1,40.7802,-73.9504,1925,1
1.0,1,40.7582,-73.9622,3115,2
1.0,2,40.7348,-73.9865,7000,1
1.0,2,40.7409,-73.9812,2600,2
2.0,2,40.7606,-73.9963,4000,1
1.0,1,40.7775,-73.9536,2500,1
1.0,2,40.7081,-74.0065,3400,1
1.0,2,40.7616,-73.9936,3500,1
1.0,1,40.7487,-73.9901,4295,2
2.0,4,40.8365,-73.9441,3700,1
1.0,1,40.7993,-73.9625,2500,1
1.0,2,40.7635,-73.9799,3800,1
1.0,2,40.7528,-73.9709,3950,1
1.0,3,40.7087,-73.955,4600,1
1.0,1,40.7346,-74.0018,2600,2
1.0,1,40.7885,-73.9749,2300,1
1.0,2,40.6882,-73.9615,2400,2
1.0,2,40.7568,-73.9982,3100,2
1.0,1,40.7756,-73.9846,2995,3
1.0,1,40.7416,-73.9216,2030,1
1.0,1,40.7562,-73.9964,3940,1
1.0,1,40.8064,-73.9181,1500,3
1.0,0,40.7462,-73.9757,2350,2
1.0,3,40.7295,-73.9893,4300,1
1.0,0,40.7619,-73.9854,3381,1
2.0,2,40.7373,-74.0042,5495,1
1.0,2,40.7447,-73.9774,3495,2
2.0,2,40.7606,-73.9994,7000,1
3.0,5,40.7084,-74.0008,11257,1
1.0,0,40.6629,-73.9846,2000,2
2.0,2,40.7716,-73.9812,13000,1
1.0,2,40.7165,-73.9505,3500,1
1.0,0,40.771,-73.9533,2100,1
3.0,3,40.7725,-73.9819,15000,1
1.0,2,40.7239,-73.9798,3300,1
1.0,2,40.7787,-73.90899999999998,2400,1
1.0,3,40.8309,-73.9486,2850,1
1.0,3,40.7579,-73.9129,2500,1
1.0,2,40.7284,-73.9992,3500,3
1.0,0,40.7655,-73.9817,2600,1
1.0,0,40.7439,-73.9971,2800,1
1.0,1,40.7719,-73.9861,4595,1
2.0,3,40.7847,-74.0059,3500,1
1.0,4,40.708,-74.0149,4500,3
1.0,1,40.7301,-73.9927,4150,1
1.0,1,40.7233,-73.9946,3495,1
1.0,2,40.7602,-73.9689,3450,2
2.0,3,40.7454,-73.9845,7500,1
1.0,0,40.7681,-73.9563,2650,1
1.0,1,40.7678,-73.9915,3312,2
1.0,1,40.7401,-73.9887,4395,1
1.0,1,40.7327,-73.9931,3800,1
1.0,2,40.7396,-74.0035,5000,1
1.0,2,40.6907,-73.9216,3200,1
1.0,2,40.86,-73.9052,1695,1
1.0,2,40.7972,-73.9488,3025,1
1.0,1,40.8539,-73.9318,1575,2
1.0,1,40.7699,-73.9488,2425,1
2.0,3,40.7624,-73.9964,7000,1
1.0,1,40.7404,-73.929,2750,1
2.0,2,40.6927,-73.986,4975,1
2.0,2,40.7658,-73.9781,5400,1
1.0,1,40.7351,-73.97800000000002,5985,1
1.0,1,40.7365,-73.8676,1395,3
1.0,0,40.7988,-73.9694,1995,1
2.0,3,40.753,-73.9958,4900,1
1.0,3,40.7864,-73.9421,2975,1
1.0,0,40.7976,-73.968,2275,1
1.0,0,40.7383,-74.0006,2525,2
1.0,1,40.7617,-73.9617,2850,1
