bathrooms,bedrooms,price,longitude,latitude,interest_level
1.5,3,3000,-73.9425,40.7145,2
1.0,2,5465,-73.9667,40.7947,1
1.0,1,2850,-74.0018,40.7388,3
1.0,1,3275,-73.9677,40.7539,1
1.0,4,3350,-73.9493,40.8241,1
2.0,4,7995,-74.0028,40.7429,2
1.0,2,3600,-73.96600000000002,40.8012,1
2.0,1,5645,-73.9957,40.7427,1
1.0,1,1725,-73.9457,40.8234,2
2.0,4,5800,-73.9808,40.7278,1
1.0,0,1950,-73.9467,40.7769,1
1.0,1,1675,-73.9396,40.8448,1
1.0,2,3000,-73.977,40.7488,3
2.0,2,6895,-73.9817,40.7707,1
1.0,1,3050,-73.9648,40.7584,1
1.0,0,2350,-73.9743,40.7439,2
1.0,2,3650,-73.983,40.7305,1
1.0,1,1695,-73.928,40.8643,1
1.0,4,5000,-73.9638,40.7999,1
1.0,1,3973,-73.9799,40.7328,1
1.0,3,4395,-73.9845,40.7454,1
1.0,2,2999,-73.9794,40.7427,2
1.0,1,2595,-73.9741,40.7447,1
1.0,1,3695,-74.0081,40.7074,1
2.0,4,7400,-73.9936,40.7391,2
3.5,4,7500,-73.9653,40.7584,1
1.0,1,2295,-73.9502,40.7728,2
1.0,1,3164,-73.9917,40.7709,1
1.0,1,1350,-73.9141,40.8335,3
2.0,2,5600,-73.9506,40.7716,1
1.0,0,2750,-73.976,40.7897,2
1.0,2,3500,-73.9678,40.7902,2
1.0,1,5165,-74.0148,40.7179,1
1.0,2,4400,-73.9942,40.7301,1
1.0,2,2300,-73.9404,40.844,1
1.0,1,1650,-73.9418,40.79,1
1.0,0,1300,-73.9389,40.8184,1
1.0,0,1980,-73.9763,40.7649,3
2.0,2,6500,-73.9867,40.7471,1
1.0,0,2396,-73.9959,40.753,2
1.0,3,3733,-74.0044,40.7231,1
3.0,4,15000,-73.9533,40.7723,1
1.0,0,2400,-73.954,40.7753,2
1.0,0,1850,-73.9511,40.7739,2
1.0,1,2500,-73.957,40.8031,1
1.0,1,2045,-73.9626,40.7975,2
1.0,0,2650,-73.9981,40.7372,1
1.0,2,3745,-74.0005,40.7479,1
1.0,1,1900,-73.9504,40.7802,1
1.0,2,5595,-73.9831,40.7377,1
1.0,1,1750,-73.8573,40.7263,1
1.0,1,1650,-73.8569,40.7267,2
1.0,0,3500,-73.9573,40.7817,1
1.0,1,3300,-73.9756,40.789,1
1.0,0,2790,-73.9702,40.7522,1
2.0,2,2100,-73.8339,40.7059,2
1.0,2,3200,-73.9675,40.7943,2
1.0,0,2700,-73.9565,40.7699,1
1.0,3,4500,-73.9914,40.766,2
1.0,1,2000,-73.9522,40.6888,1
1.0,2,1900,-73.7142,40.7493,2
1.0,1,3200,-73.9705,40.7892,2
1.0,0,2290,-73.9647,40.7571,1
1.0,2,3895,-73.9819,40.7299,1
1.0,1,2200,-73.9493,40.7796,3
1.0,1,3200,-73.9564,40.7459,1
1.0,1,4455,-73.9854,40.7467,1
